"REFERENCIA
para pedidos";;Referencia abreviada (*);DESCRIPCION ;"PVP
2019";"UNIDAD 
VENTA";ENVASE;MODULAR;COD_BARRAS;FAMILIA;SERIE;iva
18001;1;;MARCO I ELEMENTO HORIZONTAL - VERTICAL;3,38 €;Pieza;10;0;8,42187E+12;Pequeño Material;IRIS;1
18002;1;;MARCO II ELEMENTOS HORIZONTAL;5,30 €;Pieza;10;0;8,42187E+12;Pequeño Material;IRIS;1
18003;1;;MARCO III ELEMENTOS HORIZONTAL;9,35 €;Pieza;5;0;8,42187E+12;Pequeño Material;IRIS;1
18004;1;;MARCO IV ELEMENTOS HORIZONTAL;13,39 €;Pieza;5;0;8,42187E+12;Pequeño Material;IRIS;1
18005;1;;MARCO   V   ELEMENTOS HORIZONTAL;19,75 €;Pieza;1;0;8,42187E+12;Pequeño Material;IRIS;1
18033;1;;TAPA CIEGA;5,59 €;Pieza;10;0;8,42187E+12;Pequeño Material;IRIS;1
18102;1;;MARCO II ELEMENTOS VERTICAL;5,20 €;Pieza;10;0;8,42187E+12;Pequeño Material;IRIS;1
18103;1;;MARCO III ELEMENTOS VERTICAL;9,17 €;Pieza;5;0;8,42187E+12;Pequeño Material;IRIS;1
18104;1;;MARCO IV ELEMENTOS VERTICAL;13,13 €;Pieza;5;0;8,42187E+12;Pequeño Material;IRIS;1
18320;1;;TAPA TOMA R/TV-SAT;4,18 €;Pieza;20;0;8,42187E+12;Pequeño Material;IRIS;1
18330;1;;TAPA TOMA TV-FM;4,18 €;Pieza;20;0;8,42187E+12;Pequeño Material;IRIS;1
18482;1;;MECAN.TOMA TELEF.6 VIAS RJ11-EMBORNE TOR;11,48 €;Pieza;10;0;8,42187E+12;Pequeño Material;IRIS;1
18505;1;;INTERRUPTOR UNIPOLAR 16A;5,97 €;Pieza;10;0;8,42187E+12;Pequeño Material;MECANISMOS 18;1
18506;1;;CONMUTADOR 16A;6,67 €;Pieza;10;0;8,42187E+12;Pequeño Material;MECANISMOS 18;1
18507;1;;CRUZAMIENTO;15,45 €;Pieza;10;0;8,42187E+12;Pequeño Material;MECANISMOS 18;1
18508;1;;INTERRUPTOR BIPOLAR;13,97 €;Pieza;10;0;8,42187E+12;Pequeño Material;MECANISMOS 18;1
18509;1;;DOBLE INTERRUPTOR 16A;13,87 €;Pieza;10;0;8,42187E+12;Pequeño Material;MECANISMOS 18;1
18510;1;;DOBLE CONMUTADOR 16A;15,53 €;Pieza;10;0;8,42187E+12;Pequeño Material;MECANISMOS 18;1
18511;1;;MECANISMO DOBLE PULSADOR;12,84 €;Pieza;10;0;8,42187E+12;Pequeño Material;MECANISMOS 18;1
18515;1;;CONMUTADOR Y PULSADOR;12,64 €;Pieza;10;0;8,42187E+12;Pequeño Material;MECANISMOS 18;1
18516;1;;PULSADOR 10A;6,27 €;Pieza;10;0;8,42187E+12;Pequeño Material;MECANISMOS 18;1
18524;1;;BASE ENCHUFE II+TT LAT. SEGURIDAD;5,72 €;Pieza;10;0;8,42187E+12;Pequeño Material;MECANISMOS 18;1
18524-USB;1;;BASE ENCHUFE SCHUKO CON DOBLE USB 2.4A;35,00 €;Pieza;1;0;8,42187E+12;Pequeño Material;MEC.COMUN;1
18534;1;;SALIDA DE CABLES;7,32 €;Pieza;10;0;8,42187E+12;Pequeño Material;MECANISMOS 18;1
18536;1;;ZUMBADOR 230V CON REGULACION DE TONO;22,39 €;Pieza;10;0;8,42187E+12;Pequeño Material;MECANISMOS 18;1
18565;1;;PULSADOR DE PERSIANA;21,66 €;Pieza;10;0;8,42187E+12;Pequeño Material;MECANISMOS 18;1
